file,length(s)
23_08/Home_Visit/Processing/Video_Files/23_8_up1.mp4,3683.712
23_08/Home_Visit/Processing/Video_Files/23_08_video.mp4,3611.136
23_08/Home_Visit/Processing/Video_Files/23_8_down1.mp4,1253.12
23_09/Home_Visit/Processing/Video_Files/23_9_down1.mp4,3537.152
23_09/Home_Visit/Processing/Video_Files/23_09_video.mp4,3457.344
23_09/Home_Visit/Processing/Video_Files/23_9_up1.mp4,3537.28
23_10/Home_Visit/Processing/Video_Files/23_10_parent1.mp4,3706.24
23_10/Home_Visit/Processing/Video_Files/23_10_video.mp4,3627.648
23_10/Home_Visit/Processing/Video_Files/23_10_up1.mp4,3738.752
23_12/Home_Visit/Processing/Video_Files/23_12_parent1.mp4,3727.36
23_12/Home_Visit/Processing/Video_Files/23_12_video.mp4,3664.768
23_13/Home_Visit/Processing/Video_Files/23_13_up1.mp4,3672.448
23_13/Home_Visit/Processing/Video_Files/23_13_parent1.mp4,3657.088
23_13/Home_Visit/Processing/Video_Files/23_13_video.mp4,3608.298667
23_13/Home_Visit/Processing/Video_Files/23_13_down1.mp4,3671.552
23_11/Home_Visit/Processing/Video_Files/23_11_video.mp4,3567.552
23_11/Home_Visit/Processing/Video_Files/23_11_parent1.mp4,3630.208
23_14/Home_Visit/Processing/Video_Files/23_14_video.mp4,3887.381333
23_15/Home_Visit/Processing/Video_Files/23_15_parent1.mp4,3602.944
23_15/Home_Visit/Processing/Video_Files/23_15_video.mp4,3555.861333
23_15/Home_Visit/Processing/Video_Files/23_15_down1.mp4,3623.04
23_15/Home_Visit/Processing/Video_Files/23_15_up1.mp4,3625.472
23_07/Home_Visit/Processing/Video_Files/23_7_up1.mp4,3675.008
23_07/Home_Visit/Processing/Video_Files/23_7_down1.mp4,3680.128
23_07/Home_Visit/Processing/Video_Files/23_07_video_rerender1.mp4,61.994667
23_07/Home_Visit/Processing/Video_Files/23_07_video.mp4,1676.906667
23_06/Home_Visit/Processing/Video_Files/23_6_up1.mp4,3692.8
23_06/Home_Visit/Processing/Video_Files/23_06_video.mp4,3692.885333
30_06/Home_Visit/Processing/Video_Files/30_6_up1.mp4,4145.664
30_06/Home_Visit/Processing/Video_Files/30_06_video.mp4,4101.973333
30_06/Home_Visit/Processing/Video_Files/30_6_down1.mp4,4143.232
30_12/Home_Visit/Processing/Video_Files/30_12_down1.mp4,3857.792
30_12/Home_Visit/Processing/Video_Files/30_12_up1.mp4,3843.072
30_12/Home_Visit/Processing/Video_Files/30_12_parent1.mp4,3833.472
30_12/Home_Visit/Processing/Video_Files/30_12_video.mp4,3697.365333
30_09/Home_Visit/Processing/Video_Files/30_09_down1.mp4,3744.0
30_09/Home_Visit/Processing/Video_Files/30_09_video.mp4,3684.885333
30_09/Home_Visit/Processing/Video_Files/30_09_up1.mp4,3737.472
30_10/Home_Visit/Processing/Video_Files/30_10_parent1.mp4,3556.48
30_10/Home_Visit/Processing/Video_Files/30_10_up1.mp4,3569.152
30_10/Home_Visit/Processing/Video_Files/30_10_video.mp4,3476.266667
30_08/Home_Visit/Processing/Video_Files/30_08_video.mp4,3997.162667
30_13/Home_Visit/Processing/Video_Files/30_13_up1.mp4,3195.666667
30_13/Home_Visit/Processing/Video_Files/30_13_parent1.mp4,3591.808
30_13/Home_Visit/Processing/Video_Files/30_13_video.mp4,3510.933333
30_07/Home_Visit/Processing/Video_Files/30_7_up1.mp4,3690.112
30_07/Home_Visit/Processing/Video_Files/30_07_video.mp4,3633.429333
30_07/Home_Visit/Processing/Video_Files/30_7_down1.mp4,3686.528
30_11/Home_Visit/Processing/Video_Files/30_11_parent1.mp4,3678.592
30_11/Home_Visit/Processing/Video_Files/30_11_video.mp4,3634.730667
30_11/Home_Visit/Processing/Video_Files/30_11_down1.mp4,3702.784
39_07/Home_Visit/Processing/Video_Files/39_7_down1.mp4,2479.36
39_07/Home_Visit/Processing/Video_Files/39_07_video.mp4,3610.304
39_07/Home_Visit/Processing/Video_Files/39_7_up1.mp4,3686.4
